nct_id,phase,completion_date,limitations_and_caveats,why_stopped,result_group_id,#AE_probability,#AE_Subjects,#Total_Subjects,time_frame,AEdescription,Treatment,Treatment_description
NCT00089544,Phase 2,12/1/12,This study closed early due to unacceptably high rate of thromboembolic events in Cohort A and due to low accrual in Cohort B. For this reason efficacy endpoints other than response to pre-operative therapy were not reported.,NA,567007,0.6,9,15,NA,"Per the protocol, toxicity data was collected via CTCAE3.0 then mapped to CTCAE 4.0 for reporting on this website. Subjects experiencing more than one of a given SAE are counted only once for that SAE. Subjects experiencing more than one of a given Other (Not Including Serious) AE are counted only once for that Other (Not Including Serious) AE.","Cohort A (Chemotherapy, Radiation, Thalidomide, Surgery)","Patients receive doxorubicin, ifosfamide, and dacarbazine IV continuously on days 1-3, 22-24, and 43-45. Patients receive G-CSF subcutaneously beginning on days 4, 25, and 46 and continuing until blood counts recover. Patients undergo radiotherapy once daily on days 7-11, 14-18, 21, 28-32, 35-39, and 42. Patients receive oral thalidomide once daily on days 7-21 and 28-42. Patients undergo surgical resection between days 84 and 98. Beginning 2 weeks after surgery, patients receive oral thalidomide once daily for 12 months in the absence of unacceptable toxicity."
NCT00090779,Phase 2,5/1/11,NA,The DSMB concluded that the findings regarding the primary analysis would persist and that no   additional study goals would be achieved by continuing the study.,566207,0.015151515,1,66,5 years since randomization,NA,IT Arm,IT arm participants received emtricitabine/tenofovir disoproxil fumarate once daily and lopinavir/ritonavir twice daily
NCT00095576,Phase 2,9/1/09,"The DSMB (Data & Safety Monitoring Board) reviewed interim data which demonstrated that the investigational vaccine was not effective, and all vaccinations were halted. Long term follow up was available for participants in V520-030.",NA,563923,0.011371237,17,1495,NA,NA,Placebo,"Participants randomized to receive three 1.0-ml intramuscular (IM) injections of placebo to MRKAd5 HIV-1 gag/pol/nef at Day 1, Week 4, and Week 26."
NCT00095576,Phase 2,9/1/09,"The DSMB (Data & Safety Monitoring Board) reviewed interim data which demonstrated that the investigational vaccine was not effective, and all vaccinations were halted. Long term follow up was available for participants in V520-030.",NA,563924,0.012803235,19,1484,NA,NA,Trivalent MRKAd5 HIV-1 Gag/Pol/Nef,"Participants randomized to receive three 1.0-ml intramuscular (IM) injections of Merck Trivalent Adenovirus Serotype 5 HIV-1 gag/pol/nef (MRKAd5 HIV-1 gag/pol/nef) Vaccine at a dose of 1.5x10^10 adenovirus genomes (Ad vg) per dose at Day 1, Week 4, and Week 26."
NCT00098371,Phase 2,11/1/12,NA,CTEP Initiated Action.,563156,0.0625,4,64,NA,NCI Common Toxicity Criteria of Adverse Events (version 3) and modified NCI Common Toxicity Criteria guidelines for evaluating hematologic toxicity for leukemia was used to grade adverse events for patients. Adverse events are reported across all grades.,Treatment (Alvocidib),"Patients receive flavopiridol IV over 30 minutes followed by a 4-hour infusion on days 1, 8, 15, and 22. Treatment repeats every 42 days for up to 6 courses in the absence of disease progression or unacceptable toxicity. Patients achieving at least a partial remission (PR) and whose PR lasts for > 6 months after completion of treatment may receive 6 additional courses of flavopiridol."
NCT00109772,Phase 2,4/1/08,NA,Interim analysis showed the primary outcome was not reached,559291,0.137931034,12,87,"Day 1 up to week 158, covering both the double-blind treatment and extension periods.","If multiple SAEs were reported within a given preferred term, only one event was counted per subject.",Lenalidomide,10 mg/day lenalidomide orally for up to 12 weeks in the double-blind treatment period. Participants who completed double-blind treatment had the option of continuing on lenalidomide in the open-label extension period for as long as benefit was derived from the drug or until study closure.
NCT00109772,Phase 2,4/1/08,NA,Interim analysis showed the primary outcome was not reached,559290,0.172043011,16,93,"Day 1 up to week 158, covering both the double-blind treatment and extension periods.","If multiple SAEs were reported within a given preferred term, only one event was counted per subject.",Placebo to Lenalidomide,Placebo orally for up to 12 weeks in the double-blind treatment period. Participants who completed double-blind treatment had the option of crossing over to lenalidomide 10mg in the open-label extension period for as long as benefit was derived from the drug or until study closure.
NCT00111917,Phase 1/Phase 2,1/1/09,"Although our goal was 20 CBD subjects, only 11 subjects were enrolled, 8:3 in the infliximab:placebo treatment arms as the study was stopped by the sponsor due to slow recruitment.",Not enough patients meeting criteria to enroll in the time period,558710,0.333333333,1,3,through week 40,adverse events reported through week 40,Group 2 - Placebo,Placebo infusion received
NCT00111917,Phase 1/Phase 2,1/1/09,"Although our goal was 20 CBD subjects, only 11 subjects were enrolled, 8:3 in the infliximab:placebo treatment arms as the study was stopped by the sponsor due to slow recruitment.",Not enough patients meeting criteria to enroll in the time period,558711,0.375,3,8,through week 40,adverse events reported through week 40,Group 1 - Infliximab,Infliximab infusion received
NCT00112905,Phase 2,3/1/08,NA,NA,557944,0.555555556,15,27,Assessed every 8 weeks,NA,TCC Cohort,"Only eligible and treated patients are included in the analysis.BAY 43-9006 was administered at a dose of 400 mg orally twice daily (total daily dose 800 mg) for eight weeks as one cycle. Patients swallowed the tablets whole with approximately 250 ml (8 oz.) of water each morning and evening (i.e., 12-hourly), with or without food. If Bay 43-9006 was taken with meals, patients were instructed to take BAY 43-9006 tosylate with a moderate to low-fat meal, as a high fat meal caused a decrease in absorption in previous studies."
NCT00113022,Phase 2,2/1/07,NA,Terminated due to concerns about adverse events in separate study.,557485,0.2,1,5,NA,NA,Org 24448,"Blinded, active experimental compound. Dosing starts at 250 mg once per day for one week, then 250 mg twice per day for one week, then 500 mg twice per day. After 4 weeks with insufficient response, the dose may be increased to 750 mg twice per day. The titration schedule may be delayed if the subject is experiencing adverse effects. The subject may be increased or decreased at the discretion of the investigator. The minimum dose allowed for the study is 250 mg once per day."
NCT00126568,Phase 2,9/1/11,The study met the pre-specified criteria for enrollment of all planned 32 patients. However due to poor accrual the study was halted.,NA,553895,0.4,8,20,Adverse events were collected weekly for the duration that the patients started on treatment to end of study.,NA,BAY 43-9006,BAY 43-9006 (sorafenib) will be administered on a fixed daily oral dosing schedule of 400 mg twice daily. A cycle of therapy will be considered 28 days (4 weeks / 1 month).
NCT00132002,Phase 2,1/1/08,"Study was terminated early after the first stage of a two-stage design, allowing for early termination for discouraging results",Early termination for discouraging results,551671,0.214285714,3,14,Adverse events occured over a period of 1 year and 7 months.,Other Adverse Events include all events that were not severe adverse events regardless of grade or relation to treatment.,Arm 1,"Vorinostat, 200 mg orally twice daily, was administered for the first 14 days of each 21 day cycle. Treatment was continued unless either disease progression was determined, the patient requested to be withdrawn from the study, or excessive toxicity was noted."
NCT00132730,Phase 2,8/1/05,"The extension studies were terminated based on data from the completed base study suggesting that MK-0873, at doses up to 2.5 mg per day, demonstrated no benefits versus placebo in lung function or symptoms in participants with COPD.",NA,551567,0.05362776,17,317,Up to 14 weeks in the Base Study; up to 14 weeks in study EXT1; up to 80 weeks in study EXT2,NA,MK-0873 2.5 mg EXT 1,Participants receive MK-0873 2.5 mg tablets once daily for 12 weeks in Period III (EXT1)
NCT00132730,Phase 2,8/1/05,"The extension studies were terminated based on data from the completed base study suggesting that MK-0873, at doses up to 2.5 mg per day, demonstrated no benefits versus placebo in lung function or symptoms in participants with COPD.",NA,551570,0.074324324,11,148,Up to 14 weeks in the Base Study; up to 14 weeks in study EXT1; up to 80 weeks in study EXT2,NA,MK-0873 1.25 mg Base Study,"Participants receive placebo tablets once daily for 3 weeks in Period I (Base), and MK-0873 1.25 mg tablets once daily for 12 weeks in Period II (Base)"
NCT00132730,Phase 2,8/1/05,"The extension studies were terminated based on data from the completed base study suggesting that MK-0873, at doses up to 2.5 mg per day, demonstrated no benefits versus placebo in lung function or symptoms in participants with COPD.",NA,551568,0.039215686,6,153,Up to 14 weeks in the Base Study; up to 14 weeks in study EXT1; up to 80 weeks in study EXT2,NA,Placebo Base Study,"Participants receive placebo tablets once daily for 3 weeks in Period I (Base), placebo tablets once daily for 12 weeks in Period II (Base) and placebo tablets once daily for 12 weeks in Period III (EXT1)"
NCT00132730,Phase 2,8/1/05,"The extension studies were terminated based on data from the completed base study suggesting that MK-0873, at doses up to 2.5 mg per day, demonstrated no benefits versus placebo in lung function or symptoms in participants with COPD.",NA,551571,0.066666667,10,150,Up to 14 weeks in the Base Study; up to 14 weeks in study EXT1; up to 80 weeks in study EXT2,NA,MK-0873 0.75 mg Base Study,"Participants receive placebo tablets once daily for 3 weeks in Period I (Base), and MK-0873 0.75 mg tablets once daily for 12 weeks in Period II (Base)"
NCT00132730,Phase 2,8/1/05,"The extension studies were terminated based on data from the completed base study suggesting that MK-0873, at doses up to 2.5 mg per day, demonstrated no benefits versus placebo in lung function or symptoms in participants with COPD.",NA,551569,0.065359477,10,153,Up to 14 weeks in the Base Study; up to 14 weeks in study EXT1; up to 80 weeks in study EXT2,NA,MK-0873 2.5 mg Base Study,"Participants receive placebo tablets once daily for 3 weeks in Period I (Base), MK-0873 2.5 mg tablets once daily for 12 weeks in Period II (Base) and MK-0873 2.5 mg tablets once daily for 12 weeks in Period III (EXT1)"
NCT00132730,Phase 2,8/1/05,"The extension studies were terminated based on data from the completed base study suggesting that MK-0873, at doses up to 2.5 mg per day, demonstrated no benefits versus placebo in lung function or symptoms in participants with COPD.",NA,551566,0.037383178,4,107,Up to 14 weeks in the Base Study; up to 14 weeks in study EXT1; up to 80 weeks in study EXT2,NA,Placebo EXT 1,Participants receive placebo tablets once daily for 12 weeks in Period III (EXT1)
NCT00132730,Phase 2,8/1/05,"The extension studies were terminated based on data from the completed base study suggesting that MK-0873, at doses up to 2.5 mg per day, demonstrated no benefits versus placebo in lung function or symptoms in participants with COPD.",NA,551564,0.070422535,5,71,Up to 14 weeks in the Base Study; up to 14 weeks in study EXT1; up to 80 weeks in study EXT2,NA,Usual Care EXT2,"Participants receive usual care (inhaled short- or long-acting beta-agonists, inhaled corticosteroids, or short- or long-acting anticholinergics) for 28 weeks in Periods IV and V (EXT2)"
NCT00138424,Phase 1/Phase 2,4/1/11,The study closed early due to failure to enroll in a timely manner.,NA,550478,0.2,1,5,SAEs were reported within one business day of awareness of the event by completing Serious Adverse Event Report. Events were reported from start of study drug use to end of study..,NA,Cohort I - Placebo,"One dose (0.25 mg/kg/week-days 0, 7, 21, 35, 49)"
NCT00138424,Phase 1/Phase 2,4/1/11,The study closed early due to failure to enroll in a timely manner.,NA,550476,0.333333333,1,3,SAEs were reported within one business day of awareness of the event by completing Serious Adverse Event Report. Events were reported from start of study drug use to end of study..,NA,Cohort II - Placebo,"One dose (0.5 mg/kg/week-days 0, 7, 21, 35, 49)"
NCT00142168,Phase 2,4/1/08,"Due to toxicity, study was terminated.",Toxicity,549209,0.6875,11,16,NA,NA,Lenalidomide and Rituximab,Intended therapy consisted of 48 weeks of lenalidomide (25 mg/d for 3 weeks and then 1 week off) along with rituximab (375 mg/m(2)/wk) dosed on weeks 2 to 5 and 13 to 16.
NCT00157248,Phase 2,NA,NA,NA,545841,0.433333333,39,90,5 years,"All treated patients. In this follow-up study, events are displayed cumulatively that occurred in the initial study (1160.20) or in the present study. Most patients changed treatment regimens per amendment during conduct. Events were assigned to the regimen a patient received prior to the event, and patients may be counted in multiple regimens.",300 mg Once Daily,Number of Participants treated at any time with 300 mg of Dabigatran etexilate once daily
NCT00157248,Phase 2,NA,NA,NA,545842,0.429775281,153,356,5 years,"All treated patients. In this follow-up study, events are displayed cumulatively that occurred in the initial study (1160.20) or in the present study. Most patients changed treatment regimens per amendment during conduct. Events were assigned to the regimen a patient received prior to the event, and patients may be counted in multiple regimens.",150 mg Twice Daily,Number of Participants treated at any time with 150 mg of Dabigatran etexilate twice daily
NCT00157248,Phase 2,NA,NA,NA,545840,0.130434783,21,161,5 years,"All treated patients. In this follow-up study, events are displayed cumulatively that occurred in the initial study (1160.20) or in the present study. Most patients changed treatment regimens per amendment during conduct. Events were assigned to the regimen a patient received prior to the event, and patients may be counted in multiple regimens.",300 mg Twice Daily,Number of Participants treated at any time with 300 mg of Dabigatran etexilate twice daily
NCT00157248,Phase 2,NA,NA,NA,545843,0.196078431,20,102,5 years,"All treated patients. In this follow-up study, events are displayed cumulatively that occurred in the initial study (1160.20) or in the present study. Most patients changed treatment regimens per amendment during conduct. Events were assigned to the regimen a patient received prior to the event, and patients may be counted in multiple regimens.",150 mg Once Daily,Number of Participants treated at any time with 150 mg of Dabigatran etexilate once daily
NCT00157248,Phase 2,NA,NA,NA,545844,0.076190476,8,105,5 years,"All treated patients. In this follow-up study, events are displayed cumulatively that occurred in the initial study (1160.20) or in the present study. Most patients changed treatment regimens per amendment during conduct. Events were assigned to the regimen a patient received prior to the event, and patients may be counted in multiple regimens.",50 mg Twice Daily,Number of Participants treated at any time with 50 mg of Dabigatran etexilate twice daily
NCT00176644,Phase 2,12/1/08,NA,Treatment ineffective,542431,0.217391304,5,23,3 years and 6 months,NA,Transdermal Estradiol,"Transdermal Estradiol : application of 4 transdermal estradiol patches, each patch releases a dose of 0.1 mg/day for a total dose of 0.4 mg/day. All four patches will be changed every 7 days. This continuous weekly schedule will be followed until the patient goes off-study.The patch will be applied to a clean, dry, intact area of the lower abdomen or the upper quadrant of the buttock. The sites should be rotated weekly. If a patch falls off during the 7 days, a new patch will be applied for the remainder of the 7 day period. At the end of the 7 days all four patches will be changed."
NCT00185679,Phase 2,2/1/10,NA,This study was superseded by the subsequent study IRB-15919 (NCT01050764),541276,0.230769231,3,13,SAEs reported through Day 100 post-transplant.,Non-serious adverse events not reported,Haploidentical Allogeneic Transplant Using CliniMACS System,"The CliniMACS cell selection system (Miltenyi Biotec) will be used to enrich hematopoietic stem cells from related, haploidentical, HLA-matched donors, who matched on the A,B,C and DRB1, DQ loci.CliniMACS System: The CliniMACS System is a cell selection device consisting of the following components:Computer-controlled instrument;Sterile disposable tubing set (PVC tubing, filters and bags connected to two separation columns containing an iron/plastic matrix)Anti-CD34 antibody reagent (murine monoclonal antibody chemically coupled to a magnetic particle)Wash buffer"
NCT00210626,Phase 2,6/1/08,The study was stopped early due to slow enrollment. Four subjects were randomized but withdrew prior to hospital entry and no data were collected,NA,537325,0.177083333,17,96,NA,NA,PROCRIT,"40,000 IU/mL/week for maximum of 12 weeks"
NCT00210626,Phase 2,6/1/08,The study was stopped early due to slow enrollment. Four subjects were randomized but withdrew prior to hospital entry and no data were collected,NA,537324,0.217391304,20,92,NA,NA,Placebo,Placebo given at equivalent volume (1 mL) as Procrit
NCT00215657,Phase 2,3/1/06,NA,The doses were not effective in maintaining testosterone suppression,536890,NA,4,NA,NA,NA,Degarelix 120mg (40mg/mL),Degarelix 120 mg (40 mg/mL)
NCT00215657,Phase 2,3/1/06,NA,The doses were not effective in maintaining testosterone suppression,536888,NA,7,NA,NA,NA,Degarelix 200mg (40mg/mL),Degarelix 200 mg (40 mg/mL)
NCT00215657,Phase 2,3/1/06,NA,The doses were not effective in maintaining testosterone suppression,536891,NA,8,NA,NA,NA,Degarelix 120mg (20mg/mL),Degarelix 120 mg (20 mg/mL)
NCT00215657,Phase 2,3/1/06,NA,The doses were not effective in maintaining testosterone suppression,536887,NA,8,NA,NA,NA,Degarelix 200mg (60mg/mL),Degarelix 200 mg (60 mg/mL)
NCT00215657,Phase 2,3/1/06,NA,The doses were not effective in maintaining testosterone suppression,536889,NA,3,NA,NA,NA,Degarelix 160mg (40mg/mL),Degarelix 160 mg (40 mg/mL)
NCT00215657,Phase 2,3/1/06,NA,The doses were not effective in maintaining testosterone suppression,536886,NA,5,NA,NA,NA,Degarelix 240mg (40mg/mL),Degarelix 240 mg (40 mg/mL)
NCT00215657,Phase 2,3/1/06,NA,The doses were not effective in maintaining testosterone suppression,536885,NA,3,NA,NA,NA,Degarelix 240mg (60mg/mL),Degarelix 240 mg (60 mg/mL)
NCT00215657,Phase 2,3/1/06,NA,The doses were not effective in maintaining testosterone suppression,536884,NA,9,NA,NA,NA,Degarelix 320mg (60mg/mL),Degarelix 320 mg (60 mg/mL)
NCT00217464,Phase 2,3/1/10,NA,Closed for futility,536625,0.058823529,1,17,NA,NA,Fulvestrant,"Patients receive fulvestrant intramuscularly on days 0, 14, and 28. Treatment repeats once a month in the absence of disease progression or unacceptable toxicity.fulvestrant: intramuscularly"
NCT00239720,Phase 2,6/1/08,"This study was put on voluntary clinical hold after a serious adverse event occurred. After a review of the data, the team decided to close the study to further enrollment. Due to limited participants, no formal statistical analyses were performed",FDA Clinical Hold,533718,0.333333333,1,3,Baseline to end of study (up to 24 months post baseline visit),"This study graded the severity of adverse events experienced by the study participant according to criteria set forth in the National Cancer Institute's Common Terminology Criteria for Adverse Events Version 3.0 (June 10, 2003)",hOKT3gamma1 (Ala-Ala),Escalating dose of hOKT3gamma1 (Ala-Ala) given intravenously over 5 days of each 28 day cycle
NCT00240162,Phase 2,12/1/08,"In November 2008, it was reported that the drug might have carcinogenic potential in animal models. At that time, the remaining three patients were taken off study.",investigator letter from drug manufacturer stating animal studies showed increased risk of   cancer which was an unknown adverse event,533651,0.142857143,3,21,Adverse events were collected from the start of treatment up through 30 days following the end of treatment.,NA,PTK787/ZK 222584,"Initially patients will receive a dose of 500mg (2, 250mg tablets) in the morning and 250mg (1, 250mg tablet) in the afternoon for 2 weeks (cycle 1, days 1-14), then 500mg (2, 250mg tablets) bid for 2 weeks (cycle 1, days 15-28) and finally 750mg (3, 250mg tablets) in the morning and 500mg (2, 250mg tablets) in the afternoon for the remainder of treatment duration (cycle 2, day 1 and onwards). Each 28 days of drug administration will constitute one cycle of therapy."
NCT00245128,Phase 2,10/1/11,Early termination/results were never analyzed due to negative study results from other similar studies.,"Per PI, results from another similar study were published prior to study analysis. Negative   study results were published therefore analysis was not completed",532779,1,10,10,NA,NA,Imatinib Mesylate (Gleevec),Once daily oral administration of Imatinib Mesylate at a dose of 600mg for 12 months.
NCT00249002,Phase 2,11/1/07,NA,Terminated due to pipeline prioritization,531951,0.666666667,6,9,"AEs collected up to 30 days after the last ABI-007 dose administration (Week 21), except for cardiovascular side effects or other events at the investigator‰Ûªs discretion, which would be reported whenever they occur.",NA,ABI-007,"ABI-007 35 mg/m^2 given intravenously (IV) into the arteriovenous (AV) graft within 96 hours after angioplasty, followed by repeat treatment during weeks 5, 13 and 21"
NCT00073008,Phase 2,7/1/08,"Based on interim analysis and predefined stopping rules for futility, the study was discontinued due to lack of efficacy. At that time, no additional participants were added; enrolled participants could continue on treatment, following the protocol.","Based on interim analysis at the end of Stage 1, and predefined stopping rules for futility,   further enrollment was stopped due to lack of efficacy",570395,0.230769231,15,65,NA,NA,Lapatinib 1500 mg QD,Oral lapatinib 1500 mg once daily (QD)
