"","X","nct_id","result_group_id","X.AE_probability","X.AE_Subjects","X.Total_Subjects","time_frame","AEdescription","Treatment","Treatment_description"
"112",134,"NCT01004003",260207,1,4,4,"From first administration of the trial drug and until 28 days after the last administration of nintedanib or sorafenib, up to 1289 days",NA,"Phase I Group 1, 200mg Nintedanib Bid","Oral administration of Nintedanib (BIBF 1120) 200 mg soft gelatine capsules (two capsules of 100mg) twice daily (bid). Phase I: A standard 3+3 dose escalation part to determine the MTD. Group 1 patients had a baseline Child-Pugh score of 5 or 6, and AST and ALT ≤2 times the upper limit of normal (ULN)."
"116",140,"NCT00539617",431194,1,4,4,"Adverse events were collected from first dose to 30 days after last dose for all patients. For the 4 patients who started treatment, this period was over 1 year and 2 months.",NA,"FOLFOX and Erlotinib","Single arm study of FOLFOX6 plus Erlotinib"
"120",146,"NCT00195260",539809,1,4,4,NA,"The same event may appear as both an AE and a SAE. However, what is presented are distinct events. An event may be categorized as serious in one subject and as nonserious in another subject, or one subject may have experienced both a serious and nonserious event during the study.","Bosutinib 50 mg","Bosutinib 50 milligram (mg) capsule orally once daily continuously in 21-day cycles until disease progression, unacceptable toxicity, or consent withdrawal."
"130",163,"NCT01264081",177190,1,3,3,NA,"Three study participants were affected by the adverse events: 2 - who completed the study and 1 who did not complete cycle 1 due to death of progressive disease. The participant who withdrew from study didn't take Lapatinib and experience any adverse events.","Group A","Lapatinib: 500 mg PO (orally) twice a day for 28 days (1 cycle). Up to 27 cycles allowed if response seen."
"132",165,"NCT01099358",230308,1,3,3,NA,"All participants who received at least one dose of study drug.","Cisplatin on Cetuximab (A)","Cisplatin on Cetuximab (A)
Cycle 1:
100 mg/m² cisplatin admin I.V on week 1, day 1. 5- FU admin as a 96-hour C.I. of 1000 mg/m²/d admin starting on week 1, day 1-4.
400 mg/m² cetuximab admin I.V on week 2, day 1. 250 mg/m² cetuximab admin I.V on week 3, day 1.
Cycle 2 +:
100 mg/m² cisplatin admin I.V on week 1, day 1. 5- FU admin as a 96-hour C.I. of 1000 mg/m²/d admin starting on week 1, day 1-4.
250 mg/m² cetuximab admin I.V on weeks 1-3, day 1.
After 7 cycles, participants may then receive weekly Cetuximab monotherapy until progression of disease, unacceptable toxicity, or another withdrawal criterion is met.
Due to protocol amendment in September 2011, any newly enrolled participants were placed into cetuximab and cisplatin (C) arm only. After protocol amendment February 2014, any newly enrolled participants will be placed into cetuximab and cisplatin (D) arm only."
"137",174,"NCT01004003",260206,1,3,3,"From first administration of the trial drug and until 28 days after the last administration of nintedanib or sorafenib, up to 1289 days",NA,"Phase I Group 2, 50mg Nintedanib Bid","Oral administration of Nintedanib (BIBF 1120) 50 mg soft gelatine capsules twice daily (bid). Phase I: A standard 3+3 dose escalation part to determine the MTD. Group 2 patients had a baseline Child-Pugh score of 7, or AST or ALT >2 to ≤5 times ULN."
"138",177,"NCT00987935",266793,1,3,3,"AEs with an onset during therapy with study treatment or within 28 days after discontinuation of study treatment (up to 1066 days)",NA,"Phase I Group II Nintedanib, 50 mg Bid","Oral administration of Nintedanib (BIBF 1120) 50 mg soft gelatine capsules twice daily (bid) for the Group II patients during Phase I"
"140",183,"NCT00716456",365149,1,3,3,NA,NA,"Cetuximab 250 mg/m2","Cetuximab 250 mg/m2 IV every two weeks"
"156",205,"NCT00121719",555446,1,3,3,"All adverse events (AEs) were collected for up to approximately 4 years.","Treatment-emergent adverse events were defined as AEs that emerged during treatment, having been absent at pre-treatment, or that worsened in severity relative to the pre-treatment state, or occurred within 7 days or 5 times the half-life (whichever was longer) post participant's last treatment. Only treatment-emergent AEs and SAEs were reported.","6.4 mg Lenvatinib","Six 1.0 mg lenvatinib tablets and four 0.1 mg lenvatinib tablets were taken orally, once daily. Lenvatinib was to be taken on an empty stomach shortly after waking. Participants were fasted for 2 hours following administration of lenvatinib and could drink only clear fluids during this time (grapefruit juice was to be avoided). If 1 of 3 participants experienced DLT during Cycle 1 (4 weeks) an additional 3 participants were to be treated at this dose level. If 5 of the 6 participants in the expanded dose level did not experience DLT during the first 4 weeks of therapy, no additional DLT was observed, the next dose level was opened for enrollment. If more than 1 participant experienced DLT during the first 4 weeks of therapy, dose escalation was stopped and theMTD was determined. An additional 12 participants were treated at the MTD level."
"157",206,"NCT00121719",555442,1,3,3,"All adverse events (AEs) were collected for up to approximately 4 years.","Treatment-emergent adverse events were defined as AEs that emerged during treatment, having been absent at pre-treatment, or that worsened in severity relative to the pre-treatment state, or occurred within 7 days or 5 times the half-life (whichever was longer) post participant's last treatment. Only treatment-emergent AEs and SAEs were reported.","20 mg Lenvatinib","Two 10 mg lenvatinib tablets were taken orally, once daily. Lenvatinib was to be taken on an empty stomach shortly after waking. Participants were fasted for 2 hours following administration of lenvatinib and could drink only clear fluids during this time (grapefruit juice was to be avoided). If 1 of 3 participants experienced DLT during Cycle 1 (4 weeks) an additional 3 participants were to be treated at this dose level. If 5 of the 6 participants in the expanded dose level did not experience DLT during the first 4 weeks of therapy, no additional DLT was observed, the next dose level was opened for enrollment. If more than 1 participant experienced DLT during the first 4 weeks of therapy, dose escalation was stopped and the MTD was determined. An additional 12 participants were treated at the MTD level."
"163",213,"NCT01824823",59060,1,2,2,"Assessed every 4 weeks while on treatment and for 30 days after the end of treatment.",NA,"Arm A (Afatinib)","Patients receive afatinib PO QD on days 1-28."
"169",219,"NCT01340794",155826,1,2,2,NA,NA,"Treatment: Pazopanib Without Run-in","Patients receive 800 mg pazopanib hydrochloride PO QD on days 1-28 of a 28 day cycle."
"172",226,"NCT01251653",182104,1,2,2,"From first drug administration until 28 days after last drug administration, up to 717 days",NA,"Afatinib 50mg and Gemcitabine 1250mg","Afatinib (film-coated tablet) 50 mg qd (once daily) was administered orally in combination with Gemcitabine 1250 mg/m2 administered as intravenous infusion on Days 1 and 8 of each 3- week treatment course."
"177",233,"NCT00964743",274550,1,2,2,"8 months","First On Study (9/10/09) to last Off Study (5/18/10)","Intrathecal DepoCyt and Oral Sorafenib","This is a single arm pilot study. Investigators planned to enroll approximately 10 patients to receive concurrent intrathecal DepoCyt and oral Sorafenib. DepoCyt: through a reservoir every 2 weeks for 5 doses, then every 4 weeks for an additional 5 doses (a total of 10 DepoCyt treatments). Oral Sorafenib: at 400 mg twice a day throughout the treatment course until disease progression or death."
"178",235,"NCT00891904",299088,1,2,2,NA,NA,"Biological/Vaccine: Cetuximab","All patients enrolled will receive cetuximab 400 mg/m 2 IV x 1 dose 1 week prior to delivery of SBRT. Patients will then receive 15 Gy x 1 using SBRT and cetuximab i.v.
250 mg/m2 weekly for 4 weeks (total of 5 doses at 250 mg/m2)."
"190",249,"NCT00095940",563875,1,2,2,"Adverse events (AEs) were collected from day 1 of starting treatment until 30 days after ceasing treatment (off study). AEs possibly, probably, or definitely attributed to the study drug that occured after the off study date were also collected.","One participant in the Medulloblastoma: No Surgery group did not receive any lapatinib as the patient experienced clinical progression prior to starting therapy. This patient is excluded from the adverse event reporting.","Medulloblastoma: Lapatinib Prior to Surgery","Participants with recurrent medulloblastoma who had surgical resection of the tumor at study enrollment and were randomized to receive lapatinib 7-14 days prior to surgery."
"191",250,"NCT00095940",563871,1,2,2,"Adverse events (AEs) were collected from day 1 of starting treatment until 30 days after ceasing treatment (off study). AEs possibly, probably, or definitely attributed to the study drug that occured after the off study date were also collected.","One participant in the Medulloblastoma: No Surgery group did not receive any lapatinib as the patient experienced clinical progression prior to starting therapy. This patient is excluded from the adverse event reporting.","Ependymoma: Lapatinib Prior to Surgery","Participants with recurrent medulloblastoma who had surgical resection of the tumor at study enrollment and were randomized to receive lapatinib 7-14 days prior to surgery."
"193",252,"NCT02037347",32543,1,1,1,NA,NA,"Palifermin","Palifermin 60 micrograms/kg/day IV for 3 consecutive days"
"225",287,"NCT01182610",204216,1,1,1,"Adverse events collected beginning on day 1 of study treatment through the End of Treatment visit (30 days post-operative, 6 weeks from last treatment administration if treatment failure, or 30 days from last dose of study treatment if early withdrawal).","Systematic Assessment- subjects were assessed for adverse events on day 1 of each cycle by either the research coordinator, treating physician, or other appropriate sub-investigator.","Treatment Group: Panitumumab, Paclitaxel, Carboplatin and 5FU","Panitumumab 9mg/kg on Days 1, 22, and 43; Paclitaxel 200mg/m2 on Days 1 and 22; Carboplatin AUC=6 on Days 1 and 22; 5FU 225mg/m2/day on Days 1-15 and 22-36"
"234",298,"NCT00932373",286666,1,1,1,"Baseline to the end of the study (up to 3 years 2 months)",NA,"Trastuzumab-MCC-DM 0.6 mg/kg Every 3 Weeks","Trastuzumab-MCC-DM 0.6 mg/kg administered intravenously (IV) once every 3 weeks"
"244",308,"NCT00857714",309413,1,1,1,"Up to 60 days",NA,"1500 mg Lapatinib for 14-21 Days","Patients took 1500 mg Lapatinib for 14-21 days until surgical excision."
"281",353,"NCT00096174",563796,0.96969697,64,66,"Assessed weekly while on treatment, and every 3 months for 2 years",NA,"Cisplatin, C225, Radiation","Cetuximab therapy: Patients receive an initial loading dose of cetuximab intravenously (IV) over 2 hours on day 1. Patients then receive cetuximab IV over 1 hour on days 8, 15, 22, 29, 36, 43, 50, and 57.
Chemoradiotherapy: Beginning on day 15 of cetuximab therapy, patients undergo radiotherapy once daily, 5 days a week, for at least 7 weeks. Patients also receive cisplatin IV over 1-2 hours on days 15, 36, and 57.
Cetuximab maintenance therapy: After the completion of chemoradiotherapy, patients continue to receive cetuximab IV over 1 hour once weekly for 6-12 months."
"303",377,"NCT00918385",291251,0.941176471,16,17,NA,NA,"Arm 2= Low AR Dasatinib","Low Androgen Receptor (AR) activity of < 0.50
Dasatinib: Dasatinib 100mg orally daily x 28 days per cycle. After first progression, Dasatinib 100mg orally each day in combination with Nilutamide 150mg orally each day for 28 days per cycle."
"306",380,"NCT01068769",240614,0.939393939,31,33,NA,NA,"Regorafenib","Regorafenib adminstered orally, 160 mg per day on days 1 through 21 of a 28 day cycle"
"316",393,"NCT00316888",511963,0.928571429,26,28,"Adverse events were assessed every cycle (1 cycle=28 days) while on treatment and for 30 days after the end of treatment. After discontinuation of treatment, severe (Grade ≥ 3) long term toxicity that had not been previously reported were collected via the Long term follow-up form using the following schedule: every 3 months within 2 years of registration, then every 6 months in years 2-5, annually afterward until year 10.",NA,"Arm I (Closed to Accrual as of 11/3/2008)","Patients receive cisplatin IV over 60 minutes on days 1, 29, 57, and 85 and fluorouracil IV continuously over 96 hours on days 1-4, 29-32, 57-60, and 85-88. Patients also receive cetuximab IV over 120 minutes on day 50 and then IV over 60 minutes on days 57, 64, 71, 78, 85, 92, and 99 and undergo radiotherapy once daily 5 days a week for 5 weeks, beginning on day 57. Treatment continues in the absence of disease progression or unacceptable toxicity.
cetuximab: Given IV
cisplatin: Given IV
fluorouracil: Given IV
radiation therapy: Given once daily 5 days a week for 5 weeks"
"322",399,"NCT00782834",339391,0.923076923,12,13,NA,NA,"Nilotinib Arm","All patients treated with nilotinib 400 mg BID orally daily; 4 weeks = one cycle"
"328",406,"NCT00306202",515604,0.916666667,22,24,"From the date of first dose until at least 30 days after the last dose of study drug (Median duration of therapy in months: Stratum 1=24.11 [Range: 2.27-50.63]; Stratum 2/3=3.02 [Range: 0.53-37.72]; Stratum 4=1.14 [Range: 0.03-3.38]",NA,"Stratum4 Ph- ALL/AML; Dasatinib 60 mg/m^2 Starting Dose","Participants with second or subsequent relapse of Ph- ALL or Ph- AML. Starting Dose Level of 60 mg/m^2; Escalated/Dose level 2 of 80 mg/m^2, Escalated/Dose level 3 of 100 mg/m^2, and Escalated/Dose level 4 of 120 mg/m^2. QD, as long as clinical benefit was maintained."
"333",411,"NCT00089297",567109,0.914285714,64,70,"Assessed weekly while on treatment and for 30 days after the end of treatment.",NA,"Cetuximab/Paclitaxel/Carboplatin","Induction: Cetuximab (C225) 400 mg/m2 at wk 1 then 250 mg/m2 for 5 weeks. Paclitaxel (P) 90 mg/m2 IV and carboplatin (C) AUC = 2 IV were given weekly.
Restaging biopsy of primary site scheduled at wk 7. Concurrent chemoradiation: Radiation at 200cGy/d/5 wks for a total of 50Gy and C225 at 250 mg/m2/wk. P following C225 at 30 mg/m2/wk and C following P at AUC = 1/week. Patients with a negative biopsy continued concurrent therapy to complete radiation (68-72Gy).
Restaging biopsy of primary site: Patients with positive biopsy at wk 7 or patients without a clinical complete response at the primary site after induction therapy had re-biopsy at wk 14. If the biopsy was negative, the patients continued concurrent therapy to complete radiation (68-72 Gy). If positive, resection of the primary site was done.
Additional concurrent chemoradiation: C225 at 250mg/m2/wk IV followed by P 30mg/m2/wk IV followed by C AUC = 1/wk and RT for 3 wks."
"352",438,"NCT01954745",42066,0.894736842,17,19,"October 1, 2013 through February 12, 2015","The most common drug-related adverse events were fatigue, elevated AST, and thrombocytopenia. Serious adverse events included but were not limited to neutropenia, hyperbilirubinemia, epistaxis, bowel perforation, enterocutaneous fistula, and hypertension.","Cabozantinib","Patients will be treated with cabozantinib 60 mg daily administered orally continuously for 28-day cycles. Tumor assessments will be performed every 8 weeks until documented disease progression by RECIST criteria or drug intolerance.
Cabozantinib: Cabozantinib 60 mg (free base weight) per day will be administered daily and continuously for a cycle length of 28 days. Subjects will be provided with a sufficient supply of study treatment and instructions for taking the study treatment on days without scheduled clinic visits. After fasting (with exception of water) for 2 hours, subjects will take study treatment daily with a full glass of water (minimum of 8 oz/ 240 mL) and continue to fast for 1 hour after each dose of study treatment."
"362",448,"NCT01557959",107717,0.886363636,39,44,NA,"44 of the 45 patients had completed therapy at the time of reporting. Adverse events reflect those 44 patients.","Treatment (Chemo, Chemoprotection, Antiangiogenesis Therapy)","Patients receive docetaxel IV over 1 hour on day 1, cisplatin IV over 1 hour on day 1, and pegfilgrastim subcutaneously on day 2. Treatment repeats every 2 weeks for 4 courses in the absence of disease progression or unacceptable toxicity. Beginning 2 weeks after completion of docetaxel, cisplatin, and pegfilgrastim, patients receive oral erlotinib hydrochloride once daily in the absence of disease progression or unacceptable toxicity."
"370",456,"NCT01462695",127997,0.875,14,16,NA,"One stratum A patient did not receive any study drug and was excluded from the summary of adverse events. SAE field contains NCI CTCAEs submitted via expedited reporting (NCI AdEERs / CAeRs) or grade 5 adverse events resulting in death. The AE field contains grade 3 and higher CTCAEs reported on study excluding those that were reported as SAEs.","Stratum A: Recurrent High Grade Glioma","Patients receive sunitinib malate orally (PO) once daily (QD) on days 1-28. Treatment repeats every 42 days for up to 18 courses in the absence of disease progression or unacceptable toxicity.
sunitinib malate: Given PO
diagnostic laboratory biomarker analysis: Correlative studies
pharmacological study: Correlative studies"
"378",468,"NCT00551759",425907,0.863636364,19,22,"Assessed every 6 weeks while on treatment and for 30 days after the end of treatment",NA,"Neoadjuvant Therapy, Surgery, Adjuvant Therapy","35 days of neoadjuvant chemoradiotherapy with oxaliplatin and infusional 5-fluorouracil plus cetuximab followed by post-operative docetaxel and cetuximab."
"396",490,"NCT00560352",421938,0.857142857,6,7,"Continuously from Day 1 until last day of study medication + 30 days (maximum reached: 10 months)",NA,"Dasatinib, 50 mg BID","Dasatinib, 50 mg administered twice daily (BID), with 1.0 mg/m^2 of bortezomib in 21-day cycles. Dexamethasone, fixed at 20 mg once daily (QD), was administered the day of and 1 day after each bortezomib dosing. In a 21-day cycle, bortezomib was administered by intravenous (IV) bolus twice weekly, on Days 1, 4, 8, and 11, followed by a 10-day (Days 12 to 21) rest period. In a 21-day cycle, dasatinib was taken orally every day, BID. In a 21-day cycle, dexamethasone was taken orally on Days 1, 2, 4, 5, 8, 9, 11, and 12, at the same time as dasatinib. On the days when bortezomib and dasatinib were administered together, the morning dose of dasatinib was to be followed 1-2 hours by the dose of bortezomib."
"404",498,"NCT00316888",511962,0.852941176,29,34,"Adverse events were assessed every cycle (1 cycle=28 days) while on treatment and for 30 days after the end of treatment. After discontinuation of treatment, severe (Grade ≥ 3) long term toxicity that had not been previously reported were collected via the Long term follow-up form using the following schedule: every 3 months within 2 years of registration, then every 6 months in years 2-5, annually afterward until year 10.",NA,"Arm II (Open to Accrual on 8/18/2009)","Patients receive cetuximab IV over 120 minutes on day 1 and then IV over 60 minutes on days 8, 15, 22, 29, 36, 43, and 50. Patients also receive cisplatin IV over 60 minutes on days 1 and 36, fluorouracil IV continuously over 96 hours on days 8-11 and 36-39, and undergo radiotherapy once daily 5 days a week for 5 weeks beginning on day 8. Treatment continues in the absence of disease progression or unacceptable toxicity.
cetuximab: Given IV
cisplatin: Given IV
fluorouracil: Given IV
radiation therapy: Given once daily 5 days a week for 5 weeks"
"420",517,"NCT00378703",491904,0.835164835,76,91,"Assessed every 4 weeks while on treatment and for 30 days after the end of treatment",NA,"Arm D (Sorafenib and Temsirolimus)","Patients receive sorafenib 200 mg PO BID on days 1-28 and temsirolimus as in Arm B in a 28-day cycle."
"423",520,"NCT01251653",182102,0.833333333,15,18,"From first drug administration until 28 days after last drug administration, up to 717 days",NA,"Afatinib 30mg and Docetaxel 75mg","Afatinib (film-coated tablet) 30 mg qd (once daily) was administered orally in combination with Docetaxel 75 mg/m2 administered as intravenous infusion on Day 1 of each 3- week treatment course."
"436",540,"NCT00658658",387553,0.833333333,5,6,"From first dose date to end of study date. The median duration of study is 47 days.","Other Adverse Events summarizes the non-serious occurrences of adverse events that exceed the indicated frequency threshold.
Summary of Adverse Events includes only those participants who received at least one dose of investigational product.","Age 12–17: 2.5 mg/kg QW","Participants aged 12 to 17 years received panitumumab 2.5 mg/kg administered by intravenous (IV) infusion weekly (QW) until the participant experienced disease progression, was unable to tolerate study drug, withdrew consent, or other reasons that warranted removal from the study."
"456",568,"NCT01309997",164185,0.826086957,19,23,"18 months",NA,"Imatinib as Secondary Therapy","Arm II = imatinib, adverse event occurred after the start date of imatinib. (All participants in this group received rituximab prior)."
"459",572,"NCT00726986",361518,0.823529412,14,17,"Patients were followed for adverse events while on treatment and post-treatment follow up for up to 1 year.",NA,"Sorafenib, Cisplatin, and Etoposide","Sorafenib, Cisplatin, and Etoposide for 4 cycles (months) during maintenance phase. If no disease progression continue with sorafenib for a maximum of 12 months."
"460",574,"NCT00378703",491905,0.822222222,74,90,"Assessed every 4 weeks while on treatment and for 30 days after the end of treatment",NA,"Arm C (Bevacizumab and Sorafenib)","Patients receive bevacizumab 5 mg/kg IV over 30-90 minutes on days 1 and 15 and sorafenib 200 mg PO BID on days 1-5, 8-12, 15-19, and 22-26 in a 28-day cycle."
"463",577,"NCT00100841",562565,0.818181818,54,66,NA,NA,"Treatment (Combination Chemotherapy)","Patients receive cetuximab IV over 60-120 minutes on day 1 in weeks 1-8. Patients also receive bevacizumab IV over 30-90 minutes, oxaliplatin IV over 2 hours, and leucovorin calcium IV over 2 hours on day 1, and fluorouracil IV continuously over 48 hours on days 1 and 2 of weeks 1, 3, 5, and 7. Courses repeat every 8 weeks in the absence of disease progression or unacceptable toxicity.
cetuximab: Given IV
bevacizumab: Given IV
oxaliplatin: Given IV
leucovorin calcium: Given IV
fluorouracil: Given IV"
"470",584,"NCT01005914",259485,0.818181818,9,11,"All unexpected adverse events (AEs) related, probably related or possibly related to the study drug which are equal or greater than Grade 3 and serious adverse events (SAEs) were collected from first patient enrollment on 10/21/09 through 2010.","Adverse events collected:
Unexpected AEs (when type or severity isn't listed in Expected AE List)
Deaths within 30 days of drug admin.
Grade ≥ 3 (related to the following):
Allergic reactions
CNS thrombosis/embolism
Coagulopathy
Elevated AST, ALT
Hyperbilirubinemia
Hyperglycemia
Hypertriglyceridemia
Pancreatitis","Group 1","cyclophosphamide D1- 3: 300 m g/m2 IV 6 doses plus mesna 600 mg/ m2 /day cont. IV D1-3, cytarabine D2 & 3: 3g/m2 IV, dexD1-4; 11-14: 40 mg daily, doxorubicin hydrochloride D4: 50 mg/m2 IV
Drug:imatinib mesylate 600 mg/day
Drug:methotrexate Day 1: 1g/ m2 (200 mg/ m2load IV over 2 hours plus 800 mg/ m2 over 22 hours as an infusion
Drug: methylprednisolone Day 1-3: 50mg IV BID
Drug: pegaspargase Day 3/Day4: 2,500 IU/ m2 IV
Drug: vincristine sulfate Day 4 & 11: 2 mg IV
cyclophosphamide: Day 1- 3: 300 m g/m2 IV over 2-3 hours every 12 hours for 6 doses plus mesna 600 mg/ m2 /day continuous infusion Days 1-3
cytarabine: Day 2 & 3: 3g/m2 IV over 2 hours q12 X 4
dexamethasone: Day 1-4; 11-14: 40 mg daily
doxorubicin hydrochloride: Day 4: 50 mg/m2 IV over 2 hours
imatinib mesylate: 600 mg/day
methotrexate: D"
"475",592,"NCT00551421",425958,0.8125,13,16,"Adverse event information was collected between November 2007 and October 2010.","3 patients were enrolled to Dose Level 1. 1 subject developed gr. 3 diarrhea (hospitalized), and skin toxicity was seen among the 3 subjects. The study was amended and the loading dose of cetuximab was eliminated. We report the adverse event results of the subjects enrolled on the original and the amended protocol.","Pertuzumab and Cetuximab","Original Protocol: Patients received pertuzumab IV over 30-60 minutes on day 1 of each cycle (loading dose on cycle 1, day 1 only). Patients also receive cetuximab IV over 60-120 minutes on days 2 (loading dose), 8, and 15 of cycle 1 and on days 1, 8, and 15 in all subsequent cycles. Cycles repeat every 21 days in the absence of disease progression or unacceptable toxicity.
Amended Protocol, Phase I: Same as the Original Protocol (see above) except the Cetuximab loading dose was no longer given on cycle 1, day 2 (maintainance dose given).
Phase II: Patients receive treatment as in phase I. Pertuzumab is administered at the recommended phase II dose (determined in phase I).
Given IV: pertuzumab, cetuximab, irinotecan hydrochloride
Corrlateive studies: immunohistochemistry staining method, fluorescence in situ hybridization, gene expression analysis, mutation analysis, polymerase chain reaction, laboratory biomarker analysis"
"484",603,"NCT00101816",562122,0.808080808,80,99,NA,NA,"Imatinib-resistant","Defined as any of the following: i) Subjects initially diagnosed with chronic phase chronic myeloid leukemia (CML) who progressed to myeloid phase CML while on treatment with a prescribed imatinib dose of ≥400 mg/day. ii) Subjects initially diagnosed with accelerated phase CML who progressed to myeloid phase CML while on treatment with a prescribed imatinib dose of ≥600 mg/day (or 400 to <600 mg/day if subject is intolerant of ≥600 mg/day). iii) Subjects initially diagnosed with myeloid blast phase CML who meet the criteria for myeloid phase blast crisis after at least 4 weeks of treatment prescribed at a dose of ≥600 mg/day (or 400 to <600 mg/day if subject is intolerant of ≥600 mg/day). Each of these definitions includes subjects who had no response to imatinib (primary resistance) and those who responded and subsequently progressed to myeloid blast phase (acquired resistance). Oral dasatinib 70 mg BID, with dose modifications as necessary to manage disease progression or toxicity."
"488",608,"NCT00305877",515651,0.805970149,54,67,"Assessed every 2 weeks while on treatment and for 30 days after the end of treatment",NA,"Arm A (Cetuximab, Gemcitabine, Capecitabine, Radiation)","Patients receive cetuximab IV over 60-120 minutes on day 1, once weekly, in weeks 1-24; gemcitabine hydrochloride IV over 30 minutes on day 1, once weekly, in weeks 1-3, 13-15, 17-19, and 21-23; oral capecitabine twice daily on days 1-5, 5 days a week, in weeks 5-10. Patients also undergo radiotherapy once daily, 5 days a week, beginning in week 5 and continuing for approximately 5½ weeks (25 fractions)."
"490",610,"NCT01108445",227540,0.803921569,41,51,"Baseline to 40 months",NA,"Sunitinib","Subjects in this treatment arm will take sunitinib 50 mg daily by mouth on days 1 through 28 of each 42 day cycle.
Sunitinib: 50 mg daily by mouth on days 1 through 28 of each 42 day cycle."
