"","nct_id","phase","completion_date","limitations_and_caveats","why_stopped","result_group_id","X.AE_probability","X.AE_Subjects","X.Total_Subjects","time_frame","AEdescription","Treatment","Treatment_description"
"159","NCT00447226","Phase 2","9/1/09","Study terminated prematurely: preliminary assessment (prompted by low screening/enrollment rates) showed primary objective of tumor response rate not met. Also unable to test primary treatment comparison after randomization following SD at 12 wks.","The study had failed to meet the primary objective of tumor response rate at 12 weeks from   first dose.",464751,0.125,4,32,"All adverse events (AEs) and serious adverse events (SAEs), regardless of relationship to lapatinib, were collected from the first dose until 5 days after the last dose of study medications (up to 84.1 weeks).","The AEs and SAEs presented below represent data collected from all participants, whether taking open-label lapatinib or whether randomized to lapatinib/placebo. The SAE of cerebral hemorrhage was reported 2 days after the last dose of study drug was taken and was thus not an on-treatment event.","All Participants","All participants treated in the open-label phase (1500 mg lapatinib, orally once a day), including those subsequently randomized to lapatinib (1500 mg, orally once a day) or matching placebo"
"164","NCT00452387","Phase 2","1/1/09","Early termination, according to the stopping rule included in the protocol, leading to a small number of subjects analyzed","Early stopping rule",463432,0.454545455,10,22,"Adverse events were collected beginning on day 1 of study treatment until one month after the end of study treatment.","Systematic Assessment - subjects were assessed for adverse events on day 1 of each cycle by either the research coordiantor, treating physician, or other appropriate sub-investigator.","Treatment Group: Mitoxantrone, Prednisone, Plus Sorafenib","The treatment plan for all subjects was mitoxantrone 12 mg/m2 IV every 21 days; sorafenib 400 mg po bid daily; and prednisone 5 mg po bid daily."
"172","NCT00459108","Phase 2","4/1/11","Study was terminated early after the first stage of a two-stage design, allowing for early termination for discouraging results.","Halted early for futility.",461266,0.52,13,25,NA,"Other adverse events include all grades and attributions to treatment not included in the Serious adverse event table.","Oral Dasatinib","Patients receive oral dasatinib at 70 mg twice daily on days 1-28. Courses repeat every 28 days in the absence of disease progression or unacceptable toxicity.
dasatinib: Given orally"
"175","NCT00470535","Phase 2","9/1/10","This study was terminated earlier due to a phase III study that showed this drug was not better than sorafenib","This study was terminated earlier due to a phase III study that showed this drug inferior to   sorafenib",456562,0.5,9,18,NA,NA,"Erlotinib (Tarceva)","Erlotinib 150mg orally daily for three weeks"
"191","NCT00495625","Phase 2","12/1/10","The Principal Investigator who initiated the study left Moffitt before reaching the target enrollment required to perform the planned analysis.",NA,447549,0.333333333,11,33,"3 Years and 4 Months","First Treatment Start Date: 10/13/06 Last Off Study Date: 2/19/10","Sunitinib Malate (SUO11248) Treatment","Once daily oral doses on days 1-28 of each 42-day cycle. The dose for the first 2 cycles was 37.5 mg daily for 28 days, every 42 days. Dose could be escalated to 50 mg daily for 28 days at the treating investigator's discretion."
"210","NCT00522301","Phase 2","3/1/08","Early termination as it would not meet it's primary endpoint of improved survival. None of the patients completed the study.",NA,438681,0.2,1,5,NA,NA,"Oral Sorafenib (BAY43-9006)","Sorafenib will be administered as 400 mg orally daily x 28 days (continuous)."
"222","NCT00538291","Phase 2",NA,"Study was terminated due to a lack of efficacy (less than 2 of 13 patients responded to treatment in the first stage of a Simon's two stage design).","Study was terminated early due to lack of efficacy.",431763,0.307692308,4,13,"Adverse events occurred over a period of of 17 months.","Other adverse events include all grades and attribution to treatment that are not included in Serious adverse events","Arm 1","Cetuximab 400mg/m2 IV on day 1 over 2 hours then 250 mg/m2 over 1 hour weekly + Xeloda(Capecitabine) 1000mg/m2 BID on days 1-14 repeated every 21 days."
"224","NCT00544908","Phase 2",NA,"Study was terminated early due to toxicity.","Toxicity",429189,0.285714286,2,7,"Other Adverse Events include all events that were not severe adverse events regardless of grade or relation to treatment.","Adverse events recorded over a period of 13 months.","Dasatinib","Dasatinib 70 mg po bid (1 cycle=28 days)"
"227","NCT00549328","Phase 2","4/1/09",NA,"Study enrolment was delayed in starting and too slow to support further development in this   setting",427414,0.071428571,1,14,NA,NA,"Pazopanib 800 mg","Pazopanib 800 milligrams (mg) monotherapy given orally once daily"
"228","NCT00551759","Phase 2","4/1/16",NA,"The study used a two-stage design. After stage one, the study was terminated due to excess   toxicity.",425907,0.863636364,19,22,"Assessed every 6 weeks while on treatment and for 30 days after the end of treatment",NA,"Neoadjuvant Therapy, Surgery, Adjuvant Therapy","35 days of neoadjuvant chemoradiotherapy with oxaliplatin and infusional 5-fluorouracil plus cetuximab followed by post-operative docetaxel and cetuximab."
"232","NCT00560352","Phase 1","2/1/11","The study was terminated due to an unexpectedly low recruitment rate, and no participants were enrolled in a planned dose-expansion phase.",NA,421940,0.666666667,2,3,"Continuously from Day 1 until last day of study medication + 30 days (maximum reached: 10 months)",NA,"Dasatinib, 100 mg QD","Dasatinib, 100 mg, given QD with 1.3 mg/m^2 of bortezomib in 21-day cycles. Dexamethasone, fixed at 20 mg QD, was administered the day of and 1 day after each bortezomib dosing. In a 21-day cycle, bortezomib was administered by IV bolus twice weekly, on Days 1, 4, 8, and 11, followed by a 10-day (Days 12 to 21) rest period. In a 21-day cycle, dasatinib was taken orally every day, QD in the morning. In a 21-day cycle, dexamethasone was taken orally on Days 1, 2, 4, 5, 8, 9, 11, and 12, at the same time as dasatinib. On the days when bortezomib and dasatinib were administered together, the morning dose of dasatinib was to be followed 1-2 hours by the dose of bortezomib."
"233","NCT00560352","Phase 1","2/1/11","The study was terminated due to an unexpectedly low recruitment rate, and no participants were enrolled in a planned dose-expansion phase.",NA,421939,0.25,1,4,"Continuously from Day 1 until last day of study medication + 30 days (maximum reached: 10 months)",NA,"Dasatinib, 140 mg QD","Dasatinib, 140 mg, administered QD with 1.3 mg/m^2 of bortezomib in 21-day cycles. Dexamethasone, fixed at 20 mg QD, was administered the day of and 1 day after each bortezomib dosing.In a 21-day cycle, bortezomib was administered by IV bolus twice weekly, on Days 1, 4, 8, and 11, followed by a 10-day (Days 12 to 21) rest period. In a 21-day cycle, dasatinib was taken orally every day, QD in the morning. In a 21-day cycle, dexamethasone was taken orally on Days 1, 2, 4, 5, 8, 9, 11, and 12, at the same time as dasatinib. On the days when bortezomib and dasatinib were administered together, the morning dose of dasatinib was to be followed 1-2 hours by the dose of bortezomib."
"234","NCT00560352","Phase 1","2/1/11","The study was terminated due to an unexpectedly low recruitment rate, and no participants were enrolled in a planned dose-expansion phase.",NA,421938,0.857142857,6,7,"Continuously from Day 1 until last day of study medication + 30 days (maximum reached: 10 months)",NA,"Dasatinib, 50 mg BID","Dasatinib, 50 mg administered twice daily (BID), with 1.0 mg/m^2 of bortezomib in 21-day cycles. Dexamethasone, fixed at 20 mg once daily (QD), was administered the day of and 1 day after each bortezomib dosing. In a 21-day cycle, bortezomib was administered by intravenous (IV) bolus twice weekly, on Days 1, 4, 8, and 11, followed by a 10-day (Days 12 to 21) rest period. In a 21-day cycle, dasatinib was taken orally every day, BID. In a 21-day cycle, dexamethasone was taken orally on Days 1, 2, 4, 5, 8, 9, 11, and 12, at the same time as dasatinib. On the days when bortezomib and dasatinib were administered together, the morning dose of dasatinib was to be followed 1-2 hours by the dose of bortezomib."
"257","NCT00599131","Phase 2","10/1/10","The study was discontinued prematurely due to an early stopping rule.","The study was discontinued prematurely due to early stopping rules.",408950,0.5,2,4,NA,NA,"Chemotherapy/Radiation/Surgery","Patients will undergo induction chemotherapy with (TPF): Docetaxel (Taxotere) 75 mg/m2 and cisplatin 100 mg/m2 on day 1, and 5-FU 750 mg/m2 days 1-4.
On day 20 patients will receive a single dose of cetuximab (C-225) 400 mg/m2.
Depending upon disease response, patients will undergo salvage laryngectomy followed by radiation therapy and chemotherapy."
"272","NCT00632541","Phase 2","3/1/09","The study was terminated early due to a poor safety profile as well as the lack of significant efficacy of this combination over bevacizumab alone in the short followup period where it was evaluated. Therefore, secondary objectives were not analyzed.","Significant Toxicities Experienced",395907,0.222222222,4,18,NA,NA,"Single Arm A","Sorafenib 200mg po daily, Bevacizumab 5mg/kg every other week, 1 Cycle = 4 weeks. Imaging every third cycle"
"284","NCT00638378","Phase 2","1/1/09",NA,"According to the protocol, the sponsor terminated the study after it was determined that less   than 2 of the first 22 patients showed a PSA50 response.",392885,0.409090909,9,22,NA,NA,"Ruxolitinib","Participants received ruxolitinib 25 mg orally twice daily in 12-hour intervals for 21-day cycles for as long as the study medication was tolerated and provided clinical benefit."
"302","NCT00678288","Phase 2","6/1/09","The study was terminated early by the Sponsor due to low accrual. No efficacy analyses were performed.",NA,379767,0.5,5,10,NA,"Acronyms in Adverse Event section: not otherwise specified (NOS), Alanine transaminase (ALT), Aspartate transaminase (AST)","Sorafenib (Nexavar, BAY43-9006)","Sorafenib 400 mg (two 200 mg tablets) twice daily (bid) per os (po), continuously."
"320","NCT00722072","Phase 2","7/1/12",NA,NA,363164,0.333333333,3,9,NA,NA,"Sorafenib and Fulvestrant","Fulvestrant:Will be administered to the subject intramuscularly. Administered to all subjects during cycle 1 of treatment as follows:
500 mg IM on Day 1
250 mg IM on Day 15
Sorafenib: 800 mg/day administered as 400 mg bid (twice daily) each morning and evening approximately 12 hours apart. Treatment will begin on Day 1 of the study and continue daily until tumor progression or until an unacceptable toxicity occurs which would require delay, modification or discontinuation of study therapy."
"323","NCT00726986","Phase 2","7/1/12","This study was terminated after enrolling 18 patients on the basis of excessive toxicity observed and preliminary efficacy data showing that study was unlikely to meet primary end point.","Extreme toxicity",361518,0.823529412,14,17,"Patients were followed for adverse events while on treatment and post-treatment follow up for up to 1 year.",NA,"Sorafenib, Cisplatin, and Etoposide","Sorafenib, Cisplatin, and Etoposide for 4 cycles (months) during maintenance phase. If no disease progression continue with sorafenib for a maximum of 12 months."
"326","NCT00734851","Phase 2","11/1/14",NA,"Dose Limiting Toxicities",357981,0.205882353,7,34,"36 Months","The adverse events were gathered in Common Terminology Criteria for Adverse Events v.3.0, and have been converted to v.4.0 for entry into ClinicalTrials.gov","Multimodality","4 cycles of 70 mg/m2 Docetaxel + 37.5 mg daily Sunitinib for 14 days followed by a 7 day break for 3 cycles + external beam radiotherapy to 66 Gray over 6-7 weeks"
"334","NCT00748709","Phase 2",NA,"Due to early study termination, only data on the primary efficacy endpoint were summarized, no CIs were produced and efficacy and safety results were presented for the overall population rather than by tumor category.",NA,353538,0.3,6,20,"First administration of trial medication until 28 days after last administration of trial medication",NA,"Afatinib 50mg","Patients with genetically pre-screened cancers with EGFR and/or HER2 gene amplification or EGFR activating mutations treated with afatinib 50mg once daily."
"336","NCT00752986","Phase 2","9/1/13",NA,NA,352505,0.090909091,1,11,NA,NA,"Placebo to Match Vandetanib 100 mg and 300 mg","placebo to match vandetanib 100 mg orally once-daily plus placebo to match vandetanib 300 mg orally once-daily plus fulvestrant LD (500 mg im. at day 1 and 250 mg at day 14, 28 and thereafter every 28th day +/- 3)."
"337","NCT00752986","Phase 2","9/1/13",NA,NA,352507,0.1875,3,16,NA,NA,"Vandetanib at the Dose of 100 mg","vandetanib at the dose of 100 mg orally once-daily plus placebo to match vandetanib 300 mg orally once-daily plus fulvestrant LD (500 mg im. at day 1 and 250 mg at day 14, 28 and thereafter every 28th day +/- 3)"
"338","NCT00752986","Phase 2","9/1/13",NA,NA,352506,0.166666667,2,12,NA,NA,"Vandetanib at the Dose of 300 mg","vandetanib at the dose of 300 mg orally once-daily plus placebo to match vandetanib 100 mg orally once-daily plus fulvestrant LD (500 mg im. at day 1 and 250 mg at day 14, 28 and thereafter every 28th day +/- 3)"
"339","NCT00754923","Phase 2","4/1/12","The study was discontinued, after withdrawal from the sponsor due to slow accrual. The discovery of EGFR mutations changed the scope of the trial.",NA,351330,0.090909091,1,11,NA,NA,"Treatment: Sorafenib","Sorafenib will be administered at a dose of 400 mg taken twice daily, continuously on a 28 day cycle.
sorafenib: administered orally at 400 mg taken twice daily , continuously on a 28 day cycle as an outpatient."
"354","NCT00773383","Phase 2","2/1/10",NA,NA,342896,0.352941176,12,34,"From start of treatment until 30 days after last dose (up to 64 weeks) or if the AE was related to study drug, up until the AE resolved",NA,"R1507","9 mg/kg once a week (qw) IV administered over 60-90 minutes erlotinib ‰ÛÒ 150 mg Once daily administration (qd) Oral administration(PO)"
"356","NCT00779311","Phase 1","3/1/11","Early termination due to the MTD determined to be Dose Level 1, leading to a small number of subjects analyzed.","Dose limiting toxicity at the lowest planned dose level.",340539,0.625,5,8,"Adverse events were collected beginning on day 1 of study treatment until one month after the end of study treatment.","Systematic Assessment - subjects were assessed for adverse events on day 1 of each cycle (every other week) by either the research coordinator, treating physician, or other appropriate sub-investigator.","Dose Level (DL) 1 for MTD Determination","All eligible patients will receive the mFOLFOX6 regimen at full dose followed by IV bevacizumab 5mg/kg on Day 1 of each treatment cycle, and sorafenib 200mg every other day."
"357","NCT00780676","Phase 2","5/1/14","Study terminated according to early stopping rules.","Closed early for futility.",340263,0.1,3,30,"Adverse event data collected with each cycle of therapy i.e. every 28 days. Overall collection period June 2009 to July 2012.","Selumetinib pathway predictor groups (both MEK pathway activity predictor positive and MEK pathway predictor negative) had no patients assigned to treatment, only treated participants (30) included in analysis and adverse event reporting. Adverse event reporting was by treatment population rather than predictive groups.","Dasatinib 100 mg","Participants with one of 3 predictive gene signatures (dasatinib sensitivity signature, SRC pathway activity signature and dasatinib target index) received Dasatinib 100 mg orally daily."
"359","NCT00787852","Phase 1","12/1/11",NA,"for efficacy and safety reasons",337046,0.4,2,5,"Baseline then approximately 30 days post the last dose of drug, which could be up to 2.5 years.",NA,"Group 1","DAY Radiation 1-5 8-12 15-19 22-26 29-33 36-40 43-47 Paclitaxel 1 8 15 22 29 36 43 Carboplatin 1 8 15 22 29 36 43 Dasatinib ----------------------------------------------------------------------Maintenance Dasatinib RT: External radiotherapy, 64.8 Gy, for 35 fx Paclitaxel: 50 mg/m2/week over 1 hour IV infusion days 1, 8, 15, 22, 29, 36, 43 Carboplatin: AUC = 2 IV infusion days 1, 8, 15, 22, 29, 36, 43 Dasatinib Dose Level With chemoradiation Maintenance x 2 years* Dasatinib is to be taken 1x daily 50 mg daily"
"360","NCT00787852","Phase 1","12/1/11",NA,"for efficacy and safety reasons",337045,0.8,4,5,"Baseline then approximately 30 days post the last dose of drug, which could be up to 2.5 years.",NA,"Group 2","DAY Radiation 1-5 8-12 15-19 22-26 29-33 36-40 43-47 Paclitaxel 1 8 15 22 29 36 43 Carboplatin 1 8 15 22 29 36 43 Dasatinib ----------------------------------------------------------------------Maintenance Dasatinib RT: External radiotherapy, 64.8 Gy, for 35 fx Paclitaxel: 50 mg/m2/week over 1 hour IV infusion days 1, 8, 15, 22, 29, 36, 43 Carboplatin: AUC = 2 IV infusion days 1, 8, 15, 22, 29, 36, 43 Dasatinib Dose Level With chemoradiation Maintenance x 2 years* Dasatinib is to be taken 1x daily
70 mg daily"
"373","NCT00817531","Phase 2","2/1/11","The study was terminated after internal analysis due to treatment futility. It does not meet the required number of responses to continue the study.","terminated due to futility after interim analysis",325225,0.045454545,1,22,"3-4 weeks","Following the patient's written consent to participate in the study, then to the end of 3-4 week treatment","Dasatinib","Patients took Dasatinib 100mg daily"
"398","NCT00862836","Phase 1/Phase 2","9/1/10",NA,"Lack of efficacy",307485,0.214285714,3,14,NA,NA,"Vandetanib 100 mg","Once daily oral Vandetanib 100 mg added to standard therapy (pegylated liposomal doxorubicin 50 mg/m2 iv every 4 weeks)"
"459","NCT00975806","Phase 1/Phase 2","10/1/11",NA,"MTD determined sub-optimal as efficacious treatment for renal cell carcinoma.",271336,0.571428571,4,7,"Phase 1 Only. From the date of the first study drug dose to within 28 days after the study drug treatment was discontinued.","Median treatment duration with Lenalidomide and Sunitinib was shortest in Cohort A at 41 days (range = 17 to 189 days) and longest in Cohort G = 97 days (range: 60 to 125 days) of lenalidomide treatment and 97.5 days (range = 54 to 125 days) of Sunitinib","Cohort F","Lenalidomide 10 mg QD on Days 1-21 of each 21-day cycle and sunitinib 37.5 mg QD on Days 1-14 of each 21-day cycle"
"460","NCT00975806","Phase 1/Phase 2","10/1/11",NA,"MTD determined sub-optimal as efficacious treatment for renal cell carcinoma.",271337,0.6,3,5,"Phase 1 Only. From the date of the first study drug dose to within 28 days after the study drug treatment was discontinued.","Median treatment duration with Lenalidomide and Sunitinib was shortest in Cohort A at 41 days (range = 17 to 189 days) and longest in Cohort G = 97 days (range: 60 to 125 days) of lenalidomide treatment and 97.5 days (range = 54 to 125 days) of Sunitinib","Cohort A","Lenalidomide 10 mg QD and sunitinib 37.5 mg QD on Days 1-21 of each 21-day cycle"
"461","NCT00975806","Phase 1/Phase 2","10/1/11",NA,"MTD determined sub-optimal as efficacious treatment for renal cell carcinoma.",271335,0.5,2,4,"Phase 1 Only. From the date of the first study drug dose to within 28 days after the study drug treatment was discontinued.","Median treatment duration with Lenalidomide and Sunitinib was shortest in Cohort A at 41 days (range = 17 to 189 days) and longest in Cohort G = 97 days (range: 60 to 125 days) of lenalidomide treatment and 97.5 days (range = 54 to 125 days) of Sunitinib","Cohort G","Lenalidomide 15 mg QD on Days 1-21 of each 21-day cycle and sunitinib 37.5 mg QD on Days 1-14 of each 21-day cycle"
"463","NCT00976677","Phase 2","11/1/13",NA,NA,270940,0.6,3,5,"Assessed every 21 days while on treatment and for 30 days after the end of treatment.",NA,"Arm B","Patients receive paclitaxel and carboplatin (with or without bevacizumab) as in arm A. Patients also receive oral erlotinib hydrochloride once daily on days 1-21. Treatment repeats every 21 days for 6 courses in the absence of disease progression or unacceptable toxicity. After completion of 6 courses, patients with stable or responding disease may continue to receive erlotinib hydrochloride (with or without bevacizumab) as above in the absence of disease progression or unacceptable toxicity."
"468","NCT00988169","Phase 2","5/1/10",NA,NA,266624,0.2,1,5,NA,NA,"Oral Erlotinib and Pulsed Doses of Oral AT-101","Treatment-naÌøve advanced (Wet Stage IIIB and IV)NSCLC patients with EGFR activating mutations."
"487","NCT01005914","Phase 2","5/1/14","Early termination of the study due to adverse events.","Increased rate of bacterial infections",259485,0.818181818,9,11,"All unexpected adverse events (AEs) related, probably related or possibly related to the study drug which are equal or greater than Grade 3 and serious adverse events (SAEs) were collected from first patient enrollment on 10/21/09 through 2010.","Adverse events collected:
Unexpected AEs (when type or severity isn't listed in Expected AE List)
Deaths within 30 days of drug admin.
Grade ‰ä´ 3 (related to the following):
Allergic reactions
CNS thrombosis/embolism
Coagulopathy
Elevated AST, ALT
Hyperbilirubinemia
Hyperglycemia
Hypertriglyceridemia
Pancreatitis","Group 1","cyclophosphamide D1- 3: 300 m g/m2 IV 6 doses plus mesna 600 mg/ m2 /day cont. IV D1-3, cytarabine D2 & 3: 3g/m2 IV, dexD1-4; 11-14: 40 mg daily, doxorubicin hydrochloride D4: 50 mg/m2 IV
Drug:imatinib mesylate 600 mg/day
Drug:methotrexate Day 1: 1g/ m2 (200 mg/ m2load IV over 2 hours plus 800 mg/ m2 over 22 hours as an infusion
Drug: methylprednisolone Day 1-3: 50mg IV BID
Drug: pegaspargase Day 3/Day4: 2,500 IU/ m2 IV
Drug: vincristine sulfate Day 4 & 11: 2 mg IV
cyclophosphamide: Day 1- 3: 300 m g/m2 IV over 2-3 hours every 12 hours for 6 doses plus mesna 600 mg/ m2 /day continuous infusion Days 1-3
cytarabine: Day 2 & 3: 3g/m2 IV over 2 hours q12 X 4
dexamethasone: Day 1-4; 11-14: 40 mg daily
doxorubicin hydrochloride: Day 4: 50 mg/m2 IV over 2 hours
imatinib mesylate: 600 mg/day
methotrexate: D"
"492","NCT01009203","Phase 2","12/1/12",NA,"High patient withdrawal rate",258620,0.333333333,4,12,"3 years",NA,"Erlotinib and Temsirolimus","Erlotinib at 150 mg by mouth daily + Temsirolimus at 15 mg intravenously weekly. Each cycle is comprised of 28 days."
"495","NCT01017653","Phase 2","10/1/11",NA,"study did not reach benchmark efficacy rule at 16 subjects",255848,0.0625,1,16,"16 months","The adverse events were gathered in Common Terminology Criteria for Adverse Events v.3.0, and have been converted to v.4.0 for entry into ClinicalTrials.gov","Panitumumab and Irinotecan","Panitumumab in Combination with Irinotecan : Panitumumab, 6mg/kg, as an intravenous infusion every other week in combination with Irinotecan (dose dependent upon whether the patient is taking an enzyme-inducing anti-epileptic drug [EIAED]). On an enzyme-inducing anti-epileptic drug (EIAED), irinotecan will be dosed at 340 mg/m2 every other week. Not on an EIAED, irinotecan will be dosed at 125 mg/m2. Treatment will continue until tumor progression or unacceptable toxicity."
"503","NCT01035658","Phase 1/Phase 2","3/1/14","Per protocol, study did not proceed to phase II based on analyses from phase I. Therefore, Phase II outcomes (all outcomes other than determination of the MTD) were not evaluated and will not be posted.","Based on analyses in Phase I, the study did not advance to Phase II.",249754,0.666666667,2,3,NA,NA,"Dose Level 1 Sequential","Systemic therapy with pazopanib and liposomal doxorubicin (Doxil). In this schedule, liposomal doxorubicin (30mg) was given on day 1, and pazopanib (400mg) was given days 3 - 26 of each 28 day cycle. Cycles will continue until disease progression, unacceptable toxicity or withdrawal.
Pazopanib: All patients will begin treatment with a 7-day run in period of single-agent pazopanib. Patients will receive pazopanib orally days 1-28 of a 28 day cycle.
Doxil: Liposomal doxorubicin (Doxil) will be administered IV on day 1 of a 28-day treatment cycle"
"504","NCT01035658","Phase 1/Phase 2","3/1/14","Per protocol, study did not proceed to phase II based on analyses from phase I. Therefore, Phase II outcomes (all outcomes other than determination of the MTD) were not evaluated and will not be posted.","Based on analyses in Phase I, the study did not advance to Phase II.",249755,0.125,1,8,NA,NA,"Dose Level -1","Systemic therapy with pazopanib and liposomal doxorubicin (Doxil). Single-agent pazopanib will be given for a 7 day run-in period, followed by a combination of pazopanib (400mg) and liposomal doxorubicin (30mg) administered in 28-day treatment cycles. Cycles will continue until disease progression, unacceptable toxicity or withdrawal.
Pazopanib: All patients will begin treatment with a 7-day run in period of single-agent pazopanib. Patients will receive pazopanib orally days 1-28 of a 28 day cycle.
Doxil: Liposomal doxorubicin (Doxil) will be administered IV on day 1 of a 28-day treatment cycle"
"505","NCT01035658","Phase 1/Phase 2","3/1/14","Per protocol, study did not proceed to phase II based on analyses from phase I. Therefore, Phase II outcomes (all outcomes other than determination of the MTD) were not evaluated and will not be posted.","Based on analyses in Phase I, the study did not advance to Phase II.",249756,0.6,3,5,NA,NA,"Dose Level 1","Systemic therapy with pazopanib and liposomal doxorubicin (Doxil). Single-agent pazopanib will be given for a 7 day run-in period, followed by a combination of pazopanib (400mg) and liposomal doxorubicin (40mg) administered in 28-day treatment cycles. Cycles will continue until disease progression, unacceptable toxicity or withdrawal.
Pazopanib: All patients will begin treatment with a 7-day run in period of single-agent pazopanib. Patients will receive pazopanib orally days 1-28 of a 28 day cycle.
Doxil: Liposomal doxorubicin (Doxil) will be administered IV on day 1 of a 28-day treatment cycle"
